,Row.names,Genotype,Soil_type.x,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Selection.x,Plate.Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA.Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes,combo_line,Soil_type.y,Selection.y,avg,n,se,Response,Chao1,se.chao1,Shannon,Simpson
200,R2_6_3,Ranger,Winterfell,R2,M,R2_2,R2_6,3,Negative,B6,2,1.22,0,6.86,8.08,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,0.33,2,0.33,-0.33,258,0,5.030470622,0.990334968
201,R2_6_5,Ranger,Winterfell,R2,M,R2_10,R2_6,5,Negative,Tube,NA,0.49,37.93,3.72,42.14,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,36.9475,4,3.315504926,0.9825,593.5,10.57910388,5.541321635,0.992471875
208,S1_10_3,Snowden,Hancock,S1,M,S1_10,S1_10,3,Negative,G10,2,1.91,13.05,7.72,22.68,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,33.28,2,3.66,-20.23,60,0,3.852806892,0.974646705
209,S1_10_5,Snowden,Hancock,S1,M,S1_9,S1_10,5,Negative,Tube,NA,1.8,26.81,8.34,36.95,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,45.115,4,7.271561616,-18.305,360.6,1.186217019,4.913281302,0.983680289
210,S1_2_3,Snowden,Hancock,S1,M,S1_10,S1_2,3,Negative,G2,2,1.57,50.16,6.31,58.04,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,33.28,2,3.66,16.88,78,0,4.025868821,0.977927844
217,S1_5_5,Snowden,Hancock,S1,M,S1_9,S1_5,5,Negative,Tube,NA,0.9,58.6,6.1,65.6,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,45.115,4,7.271561616,13.485,199,0,4.779863307,0.987407077
219,S1_6_5,Snowden,Hancock,S1,M,S1_9,S1_6,5,Negative,Tube,NA,0,47.58,5.19,52.77,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,45.115,4,7.271561616,2.465,473.2,0.621512893,5.210084001,0.98953708
225,S2_10_4,Snowden,Winterfell,S2,M,S2_4,S2_10,4,Negative,tube,NA,0.06,18.87,2.5,21.43,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,31.63,4,2.640773245,-12.76,343.5,8.176628879,5.00427044,0.983580514
226,S2_2_2,Snowden,Winterfell,S2,M,S2_1,S2_2,2,Negative,F2,1,1.22,29.37,1.42,32.01,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,41.3225,4,8.267697558,-11.9525,270.5,1.298237466,5.010038501,0.987497536
229,S2_3_5,Snowden,Winterfell,S2,M,S2_10,S2_3,5,Negative,Tube,NA,0.89,48.35,4.25,53.49,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,45.115,4,7.271561616,3.235,451.25,0.736717271,5.026473219,0.984077607
