#OTUID	taxonomy	confidence
01fe86d7d5d738729ea962787d772fef	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Altererythrobacter	0.8754024872383128
0200afc892857d29504c8c26f161f3c2	d__Bacteria; p__Chloroflexi; c__TK10; o__TK10; f__TK10; g__TK10; s__metagenome	0.9920660479445959
02134bc1e8a9bddb854b3a446caf60a3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae	0.9999901518821027
0214eac64452c8e8ac163216e3d0029d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__Aquicella; s__metagenome	0.9101822478564598
021886652e661e865d2cb0e9ad177b6f	d__Bacteria; p__Gemmatimonadota; c__BD2-11_terrestrial_group; o__BD2-11_terrestrial_group; f__BD2-11_terrestrial_group; g__BD2-11_terrestrial_group; s__metagenome	0.8693065442701543
0225821c76c4aa43474aa105ca5d34ef	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.998941995117906
022772e35f0aed33742db2896911984e	d__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__Kapabacteriales; g__Kapabacteriales; s__uncultured_Chlorobiales	0.830777930886406
02296d94432b51c461df3a7ef306c37e	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Criblamydiaceae; g__Criblamydiaceae; s__metagenome	0.8088478055811037
022a871d3b3d4e4d6ecd80441e65b7f9	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Shinella	0.8568226151831642
022e251bef7d43706ad66e4552a7ee9e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__Candidatus_Berkiella; s__uncultured_bacterium	0.8302230118918592
0230e8ca00c76476f205cba92e12ea0d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__IS-44; s__metagenome	0.7726333292126122
023a57190189d72213005724cee1dba5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__uncultured; g__uncultured; s__uncultured_soil	0.7292530340558442
023e7466a777a966e800d25bfa1db60b	d__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales	0.9997590451302696
024409631a7dd7cc13a408721fd4b975	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella	0.9408238272639808
0252a210a9730da7b1121cff4413c233	d__Bacteria	0.9999913040483519
0252fc7dee312c237a6d5e43a2131685	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.9886309751211217
025aff69d409dfdc20a5df943267faee	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Cellulomonadaceae; g__Cellulomonas	0.8270740487622392
026388edb2a8c54840f977353e9974c3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Adhaeribacter; s__Adhaeribacter_sp.	0.8592978418777397
026e306b80071637f0c42f249abf4e15	d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium; s__uncultured_Nannocystineae	0.980821485272121
0270d61a1dfcf30a6d96bc920899c28e	d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium	0.9832230151053302
02750611d1bca7354c28a0af79d3ebee	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Arcticibacter	0.9761033323504756
027e063415a38bc5e02ae102c45b13b3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae	0.9999999627229544
02839f23eb01119a71532020af9f4682	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9872803642226092
029ffdab99a816d662849977a1789cdc	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Pseudarthrobacter	0.7475217780786425
02a50333892f62af810cf8ba1ebb0135	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.9999963678715068
02ae82b85b1bdabcfe113e0ef840c23f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.9985865284321794
02aef81f6a363fbb8a6650d69ca0fa85	d__Bacteria; p__Planctomycetota; c__vadinHA49; o__vadinHA49; f__vadinHA49; g__vadinHA49; s__uncultured_Planctomycetales	0.9758242316596073
02b1199cbbeb1ffb9842773e73e5fbe0	d__Bacteria; p__Chloroflexi	0.9930497226326215
02b1687ca70cdc23a482128846e21ea4	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides; s__Nocardioides_terrigena	0.8727340290431982
02b1984ed49c4380d1b9775e75fcb6c8	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__Aquicella	0.9999999392805445
02b4cfd11b788eb0f489bfae1d303941	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__uncultured; s__metagenome	0.7717431194856946
02b74c689fe34b7c92175de0ce600efd	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured; s__uncultured_Sphingobacteriales	0.9897431022718953
02b95951b5cdd9cfc96da129b6425735	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.995027484491049
02c4b2a62505ce9eecc9f52865046564	d__Bacteria; p__Gemmatimonadota; c__BD2-11_terrestrial_group; o__BD2-11_terrestrial_group; f__BD2-11_terrestrial_group; g__BD2-11_terrestrial_group; s__uncultured_soil	0.9288318013044792
02c6bddaed42aa25da93142072269f5d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Labraceae; g__Labrys; s__metagenome	0.9241343972166244
02ca5b362f882b8ecbfecf2521ef5f14	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured	0.9248757470638294
02ccdddd8f77ca1ade21c4ee592baa3c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9999950842499001
02df25653bc1fe2655f6f1958945458c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__uncultured; g__uncultured; s__uncultured_gamma	0.9448859034642753
02e40e77b6ff3fa770e56eeee1b9dddf	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Rubinisphaeraceae; g__SH-PL14; s__metagenome	0.9176905538233395
02ecc3fc46c2c89203f0ebe761d4ff1e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	0.9997272171902871
02f2d71c7d749302bb675dbdda9e346f	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20	0.9999984125143152
02fb8a81ccac20a24ecafdb4da811acd	d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7	0.9999995825019464
030b455c70b9a755aaa066de7d778c41	d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium; s__uncultured_bacterium	0.7911993187460584
030f816374cabf46cea50bcc6e7dfada	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Dongiales; f__Dongiaceae; g__Dongia; s__Dongia_rigui	0.8556112539668949
03143aa7cb1848c7fdaee3f7854925c0	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20; s__uncultured_bacterium	0.8204292081913993
03146c4cbd15aa783eb6d7b3ca919920	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Ensifer	0.7788147529740697
