Genotype,Soil_type,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
Ranger,Hancock,R1,M,R1_10,R1_7,4,P,E7,1,0.13,35.6,1.77,37.5,,,,,,,
Ranger,Hancock,R1,M,R1_10,R1_9,4,P,E9,1,0.04,34.78,1.62,36.44,,,,,,,
Ranger,Hancock,R1,M,R1_7,R1_1,4,N,E1,1,0.04,26.18,1.4,27.62,,,,,,,
Ranger,Hancock,R1,M,R1_7,R1_4,4,N,E4,1,0.07,24.74,1.78,26.59,,,,,,,
Ranger,Hancock,R1,M,R1_7,R1_6,4,N,E6,1,0.06,33.58,2.64,36.28,,,,,,,
Ranger,Hancock,R1,M,R1_7,R1_8,4,N,E8,1,0.03,34.48,0.91,35.42,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_1,4,N,C1,2,0.06,36.18,1.01,37.25,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_10,4,N,C10,2,0.03,20.35,1.78,22.16,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_3,4,N,C3,2,0.03,32.09,1.75,33.87,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_9,4,N,C9,2,0.04,22.91,1.72,24.67,,,,,,,
Ranger,Winterfell,R2,M,R2_2,R2_4,4,P,C4,2,,0,0,0,,,,,,,
Ranger,Winterfell,R2,M,R2_2,R2_6,4,P,C6,2,0.15,26.91,1.54,28.6,,,,,,,
Ranger,Winterfell,R2,M,R2_2,R2_7,4,P,C7,2,0.09,23.22,0.97,24.28,,,,,,,
Ranger,Winterfell,R2,M,R2_2,R2_8,4,P,C8,2,0.03,25.78,1.8,27.61,,,,,,,
Snowden,Sterile,S1,M,none,S1_3,4,S,tube,NA,0.1,25.83,2,27.93,,,,,,,
Snowden,Sterile,S1,M,none,S1_7,4,S,tube,NA,0.15,33.44,1.72,35.31,,,,,,,
Snowden,Sterile,S2,M,none,S2_1,4,S,tube,NA,0.37,38.03,1.5,39.9,,,,,,,
Snowden,Sterile,S2,M,none,S2_5,4,S,tube,NA,0.16,29.22,1.91,31.29,,,,,,,
Snowden,Hancock,S1,M,S1_10,S1_2,4,N,tube,NA,0.23,36.36,3.22,39.81,,,,,,,
