Genotype,Soil type,Block(1-16),Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
G.Chili,Hancock,GC1,chiletanum,GC1_4,GC1_1,2,N,H1,1,1.02,49.7,2.8,53.52,,GH_2018_Box_1,A10,,,,
G.Chili,Winterfell,GC2,chiletanum,GC2_1,GC2_7,2,P,G7,1,0.61,59.86,4.21,64.68,,GH_2018_Box_1,A11,,,,
G.Chili,Winterfell,GC2,chiletanum,GC2_2,GC2_8,2,N,G8,1,0.87,51.48,4.59,56.94,,GH_2018_Box_1,A12,,,,
Huagalina,Hancock,H1,andigenum,H1_5,H1_6,2,P,B6,1,4.27,1.33,4.73,10.33,,GH_2018_Box_1,B1,,,,
Huagalina,Hancock,H1,andigenum,H1_6,H1_8,2,N,B8,1,2.86,,4.87,7.73,,GH_2018_Box_1,B2,,,,no tubers
Huagalina,Winterfell,H2,andigenum,H2_3,H2_10,2,P,C10,1,3.55,7.96,7.49,19,,GH_2018_Box_1,B3,,,,
Huagalina,Winterfell,H2,andigenum,H2_4,H2_7,2,N,C7,1,2.5,1.78,3.27,7.55,,GH_2018_Box_1,B4,,,,
Norkodah,Hancock,N1,modern,R1_4,R1_1,2,N,A1,3,0.1,40.88,,40.98,,GH_2018_Box_1,B5,,,,
Norkodah,Hancock,N1,modern,R1_6,R1_9,2,P,A9,3,0.07,53.95,,54.02,,GH_2018_Box_1,B6,,,,
Norkodah,Winterfell,N2,modern,R2_3,R2_2,2,N,E2,1,0.09,43.12,2.1,45.31,,GH_2018_Box_1,B7,,,,
Norkodah,Winterfell,N2,modern,R2_4,R2_3,2,P,E3,1,0.37,78.55,3.09,82.01,,GH_2018_Box_1,B8,,,,
Papa Cacho,Hancock,PC1,chiletanum,PC1_1,PC1_10,2,N,B10,3,1.33,23.13,9.09,33.55,,GH_2018_Box_1,B9,,,,
Papa Cacho,Hancock,PC1,chiletanum,PC1_5,PC1_5,2,P,B5,3,0.28,60.35,,60.63,,GH_2018_Box_1,B10,,,,
Papa Cacho,Winterfell,PC2,chiletanum,PC2_1,PC2_9,2,N,D9,2,1.35,,14.18,15.53,,GH_2018_Box_1,B11,,,,n/a
Papa Cacho,Winterfell,PC2,chiletanum,PC2_5,PC2_2,2,P,,,1.14,52.1,5.01,58.25,,GH_2018_Box_1,B12,,,,n/a
Snowden,Hancock,S1,modern,S1_3,S1_4,2,P,G4,2,0.48,56.09,2.22,58.79,,GH_2018_Box_1,C1,,,,
Snowden,Hancock,S1,modern,S1_4,S1_10,2,N,G10,2,1.77,46.32,3.5,51.59,,GH_2018_Box_1,C2,,,,
Snowden,Winterfell,S2,modern,S2_1,S2_2,2,N,F2,1,1.22,29.37,1.42,32.01,,GH_2018_Box_1,C3,,,,
Snowden,Winterfell,S2,modern,S2_5,S2_1,1,P,F1,1,0.85,34.88,2.11,37.84,,GH_2018_Box_1,C4,,,,
Wac 5,Hancock,W1,andigenum,W1_2,W1_8,2,N,D8,1,1.68,1.01,5.24,7.93,,GH_2018_Box_1,C5,,,,
Wac 5,Hancock,W1,andigenum,W1_4,W1_5,2,P,D5,1,1.41,12.69,4.71,18.81,,GH_2018_Box_1,C6,,,,
Wac 5,Winterfell,W2,andigenum,W2_5,W2_7,2,P,E7,1,1.05,36.7,2.45,40.2,,GH_2018_Box_1,C7,,,,
Wac 5,Winterfell,W2,andigenum,W2_6,W2_10,2,N,E10,1,2.25,35.68,2.81,40.74,,GH_2018_Box_1,C8,,,,
Wac 663,Hancock,WA1,andigenum,WA1_2,WA1_1,2,N,H1,2,0.75,24.31,3.04,28.1,,GH_2018_Box_1,C9,,,,
Wac 663,Hancock,WA1,andigenum,WA1_6,WA1_10,2,P,H10,2,1.54,30.48,2.96,34.98,,GH_2018_Box_1,C10,,,,
Wac 663,Winterfell,WA2,andigenum,WA2_2,WA2_10,2,P,F10,2,0.73,23.97,2.75,27.45,,GH_2018_Box_1,C11,,,,
Wac 663,Winterfell,WA2,andigenum,WA2_4,WA2_3,2,N,F3,2,0.62,12.48,3.05,16.15,,GH_2018_Box_1,C12,,,,
Burbank,Hancock,B1,M,B1_4,B1_3,3,N,D3,2,3.18,24.59,7.86,35.63,,,,,,,
Burbank,Hancock,B1,M,B1_4,B1_7,3,N,D7,2,4.73,19.55,8.28,32.56,,,,,,,
Burbank,Hancock,B1,M,B1_4,B1_8,3,N,,,,,,0,,,,,,,NO PLANT
Burbank,Hancock,B1,M,B1_4,B1_10,3,N,D10,2,3.19,24.25,11.23,38.67,,,,,,,
Burbank,Hancock,B1,M,B1_5,B1_1,3,P,D1,2,1.99,6.03,7.25,15.27,,,,,,,
Burbank,Hancock,B1,M,B1_5,B1_5,3,P,D5,,2.86,23.12,7.89,33.87,,,,,,,
Burbank,Hancock,B1,M,B1_5,B1_6,3,P,D6,2,2.19,28.14,7.98,38.31,,,,,,,
Burbank,Hancock,B1,M,B1_5,B1_9,3,P,D9,2,3.06,22.15,7.95,33.16,,,,,,,
Burbank,Sterile,B1,M,none,B1_2,3,C,,,,,,0,,,,,,,NO PLANT
Burbank,Sterile,B1,M,none,B1_4,3,C,D4,2,4.17,39.25,11.37,54.79,,,,,,,
Burbank,Sterile,B2,M,none,B2_1,3,C,,,,,,0,,,,,,,NO PLANT
Burbank,Sterile,B2,M,none,B2_7,3,C,,,,,,0,,,,,,,NO PLANT
Burbank,Winterfell,B2,M,B2_5,B2_3,3,P,E11,1,2.08,7.3,8.52,17.9,,,,,,,
Burbank,Winterfell,B2,M,B2_5,B2_4,3,P,D11,1,2.3,21.81,10.1,34.21,,,,,,,
Burbank,Winterfell,B2,M,B2_5,B2_6,3,P,B11,1,2.87,30.27,9.7,42.84,,,,,,,
Burbank,Winterfell,B2,M,B2_5,B2_10,3,P,A11,1,2.77,2.91,12.38,18.06,,,,,,,
Burbank,Winterfell,B2,M,B2_6,B2_2,3,N,G11,1,1.76,9.57,7.3,18.63,,,,,,,
Burbank,Winterfell,B2,M,B2_6,B2_5,3,N,C11,1,1.92,0,10.63,12.55,,,,,,,NO TUBER
Burbank,Winterfell,B2,M,B2_6,B2_8,3,N,H11,1,1.36,3.13,7.58,12.07,,,,,,,
Burbank,Winterfell,B2,M,B2_6,B2_9,3,N,F11,1,1.52,12.1,8.04,21.66,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_1,CC1_4,3,N,A4,1,0.36,,2.79,3.15,,,,,,,NO TUBER
Cor.C 95,Hancock,CC1,C,CC1_1,CC1_5,3,N,A5,1,0.79,,2.28,3.07,,,,,,,NO TUBER
Cor.C 95,Hancock,CC1,C,CC1_1,CC1_6,3,N,A6,1,0.11,,1.3,1.41,,,,,,,NO TUBER
Cor.C 95,Hancock,CC1,C,CC1_1,CC1_7,3,N,A7,1,0.52,,2.26,2.78,,,,,,,NO TUBER
Cor.C 95,Hancock,CC1,C,CC1_9,CC1_1,3,P,A11,1,2.54,,5.13,7.67,,,,,,,NO TUBER
Cor.C 95,Hancock,CC1,C,CC1_9,CC1_3,3,P,A3,1,1.51,,3.87,5.38,,,,,,,NO TUBER
Cor.C 95,Hancock,CC1,C,CC1_9,CC1_9,3,P,A9,1,0.58,,4.5,5.08,,,,,,,NO TUBER
Cor.C 95,Hancock,CC1,C,CC1_9,CC1_10,3,P,A10,1,0.99,,5.07,6.06,,,,,,,NO TUBER
Cor.C 95,Sterile,CC1,C,none,CC1_2,3,S,A2,1,1.03,,3.67,4.7,,,,,,,NO TUBER
Cor.C 95,Sterile,CC1,C,none,CC1_8,3,S,,,,,5.21,5.21,,,,,,,NO TUBER/BG?
Cor.C 95,Sterile,CC2,C,none,CC2_6,3,S,D6,1,0.48,,2.24,2.72,,,,,,,NO TUBER
Cor.C 95,Sterile,CC2,C,none,CC2_8,3,S,D8,1,1.49,,6.4,7.89,,,,,,,NO TUBER
Cor.C 95,Winterfell,CC2,C,CC2_1,CC2_3,3,N,D3,1,1.39,,7.07,8.46,,,,,,,NO TUBER
Cor.C 95,Winterfell,CC2,C,CC2_1,CC2_5,3,N,D5,1,1.31,,5.72,7.03,,,,,,,NO TUBER
Cor.C 95,Winterfell,CC2,C,CC2_1,CC2_9,3,N,D9,1,,,4.39,4.39,,,,,,,NO TUBER/BG?
Cor.C 95,Winterfell,CC2,C,CC2_1,CC2_10,3,N,D10,1,1.49,,5.98,7.47,,,,,,,NO TUBER
