"","combo_line","Genotype","Soil_type","Selection","Iteration","avg","n","se"
"142","Snowden_Hancock_N","Snowden","Hancock","N",5,44.33,3,9.31974427403099
"143","Snowden_Hancock_none","Snowden","Hancock","none",1,70.715,4,7.22482352725657
"144","Snowden_Hancock_P","Snowden","Hancock","P",2,48.3975,4,3.37224300972908
"145","Snowden_Hancock_P","Snowden","Hancock","P",3,35.6725,4,8.96178309545595
"146","Snowden_Hancock_P","Snowden","Hancock","P",4,36.02,4,4.2312094409676
"147","Snowden_Hancock_P","Snowden","Hancock","P",5,57.6675,4,2.0546791111996
"148","Snowden_Sterile_none","Snowden","Sterile","none",1,64.75,2,3.53
"149","Snowden_Sterile_S","Snowden","Sterile","S",2,41.3225,4,8.26769755836936
"150","Snowden_Sterile_S","Snowden","Sterile","S",3,33.28,2,3.66
"151","Snowden_Sterile_S","Snowden","Sterile","S",4,31.63,4,2.64077324534564
"152","Snowden_Sterile_S","Snowden","Sterile","S",5,45.115,4,7.27156161586583
"153","Snowden_Winterfell_N","Snowden","Winterfell","N",2,35.58,4,2.15467321574912
"154","Snowden_Winterfell_N","Snowden","Winterfell","N",3,11.9833333333333,3,3.7203598989584
"155","Snowden_Winterfell_N","Snowden","Winterfell","N",4,36.5925,4,7.41748651835647
"156","Snowden_Winterfell_N","Snowden","Winterfell","N",5,44.6225,4,1.503170953906
"157","Snowden_Winterfell_none","Snowden","Winterfell","none",1,62.8725,4,8.18962186245495
"158","Snowden_Winterfell_P","Snowden","Winterfell","P",2,24.665,4,4.48594193007444
"159","Snowden_Winterfell_P","Snowden","Winterfell","P",3,33.2,1,NA
"160","Snowden_Winterfell_P","Snowden","Winterfell","P",4,34.89,4,4.21694399615013
"161","Snowden_Winterfell_P","Snowden","Winterfell","P",5,31.41,4,5.97708122748888
"162","Wac 5_Hancock_N","Wac 5","Hancock","N",2,10.635,4,4.00260436049663
"163","Wac 5_Hancock_N","Wac 5","Hancock","N",3,14.755,4,3.2835613288014
"164","Wac 5_Hancock_N","Wac 5","Hancock","N",4,14.9125,4,3.46694960784453
"165","Wac 5_Hancock_N","Wac 5","Hancock","N",5,20.365,2,4.285
"166","Wac 5_Hancock_none","Wac 5","Hancock","none",1,17.4466666666667,3,12.4707101285817
"167","Wac 5_Hancock_P","Wac 5","Hancock","P",2,11.1033333333333,3,0.954730910315106
"168","Wac 5_Hancock_P","Wac 5","Hancock","P",3,18.57,2,9.3
"169","Wac 5_Hancock_P","Wac 5","Hancock","P",4,27.345,4,4.47171574081657
"170","Wac 5_Hancock_P","Wac 5","Hancock","P",5,25.16,3,7.28526595259226
"171","Wac 5_Sterile_S","Wac 5","Sterile","S",2,29.145,4,9.0760697257495
"172","Wac 5_Sterile_S","Wac 5","Sterile","S",3,11.66,2,5.52
"173","Wac 5_Sterile_S","Wac 5","Sterile","S",4,1.52,2,1.35
"174","Wac 5_Sterile_S","Wac 5","Sterile","S",5,30.36,2,0.42
"175","Wac 5_Winterfell_N","Wac 5","Winterfell","N",2,41.0166666666667,3,2.67070735532326
"176","Wac 5_Winterfell_N","Wac 5","Winterfell","N",3,1.69,2,1.32
"177","Wac 5_Winterfell_N","Wac 5","Winterfell","N",4,4.695,4,3.0691000309537
"178","Wac 5_Winterfell_N","Wac 5","Winterfell","N",5,20.7975,4,1.63131529243532
"179","Wac 5_Winterfell_none","Wac 5","Winterfell","none",1,16.1725,4,5.59321668779841
"180","Wac 5_Winterfell_P","Wac 5","Winterfell","P",2,23.2375,4,7.31354038183059
"181","Wac 5_Winterfell_P","Wac 5","Winterfell","P",3,3.08,4,1.3650335771206
"182","Wac 5_Winterfell_P","Wac 5","Winterfell","P",4,0.0766666666666667,3,0.0766666666666667
"183","Wac 5_Winterfell_P","Wac 5","Winterfell","P",5,19.3966666666667,3,0.939314170611256
"184","Wac 663_Hancock_N","Wac 663","Hancock","N",2,25.5725,4,0.692078692539126
"185","Wac 663_Hancock_N","Wac 663","Hancock","N",3,3.18,2,3.18
"186","Wac 663_Hancock_N","Wac 663","Hancock","N",4,4.6525,4,2.43563603944979
