"","Genotype","Soil_type.x","Block","Clade.x","Soil_inoculation","Sample_ID","Iteration","rep","Selection.x","Plate.Positon","Plate","Belowground","Tuber_Mass","Aboveground","Total","DNA.Extract","Plate_DNA","Slot_DNA","DNA_conc","i5_adaptor_16S","i7_adaptor_16S","Notes","Clade.y","Soil_type.y","Selection.y","avg","n","se","Response"
"265","Burbank","Winterfell","B2","M","B2_5","B2_3",3,"","P","E11",1,"2.08",7.3,8.52,17.9,"",NA,NA,NA,NA,NA,"","M","Sterile","S",39.25,1,NA,-31.95
"266","Burbank","Winterfell","B2","M","B2_5","B2_4",3,"","P","D11",1,"2.3",21.81,10.1,34.21,"",NA,NA,NA,NA,NA,"","M","Sterile","S",39.25,1,NA,-17.44
"267","Burbank","Winterfell","B2","M","B2_5","B2_6",3,"","P","B11",1,"2.87",30.27,9.7,42.84,"",NA,NA,NA,NA,NA,"","M","Sterile","S",39.25,1,NA,-8.98
"268","Burbank","Winterfell","B2","M","B2_5","B2_10",3,"","P","A11",1,"2.77",2.91,12.38,18.06,"",NA,NA,NA,NA,NA,"","M","Sterile","S",39.25,1,NA,-36.34
"269","Cor.C 95","Hancock","CC1","C","CC1_1","CC1_4",3,"","N","A4",1,"0.36",0,2.79,3.15,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"270","Cor.C 95","Hancock","CC1","C","CC1_1","CC1_5",3,"","N","A5",1,"0.79",0,2.28,3.07,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"271","Cor.C 95","Hancock","CC1","C","CC1_1","CC1_6",3,"","N","A6",1,"0.11",0,1.3,1.41,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"272","Cor.C 95","Hancock","CC1","C","CC1_1","CC1_7",3,"","N","A7",1,"0.52",0,2.26,2.78,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"273","Cor.C 95","Hancock","CC1","C","CC1_9","CC1_1",3,"","P","A11",1,"2.54",0,5.13,7.67,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"274","Cor.C 95","Hancock","CC1","C","CC1_9","CC1_3",3,"","P","A3",1,"1.51",0,3.87,5.38,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"275","Cor.C 95","Hancock","CC1","C","CC1_9","CC1_9",3,"","P","A9",1,"0.58",0,4.5,5.08,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"276","Cor.C 95","Hancock","CC1","C","CC1_9","CC1_10",3,"","P","A10",1,"0.99",0,5.07,6.06,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"277","Cor.C 95","Sterile","CC1","C","Sterile","CC1_2",3,"","S","A2",1,"1.03",0,3.67,4.7,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
