"Row.names","Genotype","Soil_type.x","Block","Clade","Soil_inoculation","Sample_ID","Iteration","Selection.x","Plate.Positon","Plate","Belowground","Tuber_Mass","Aboveground","Total","DNA.Extract","Plate_DNA","Slot_DNA","DNA_conc","i5_adaptor_16S","i7_adaptor_16S","Notes","combo_line","Soil_type.y","Selection.y","avg","n","se","Response","Type_Response","Chao1","se.chao1","Shannon","InvSimpson"
"CC2_3_5","Cor.C 95","Winterfell","CC2","C","CC2_4","CC2_3","5","N","C3",1,"1.61",0,10.12,11.73,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.23666667,"Negative",12,0,1.07604326678218,2.21609823347814
"CC2_4_3","Cor.C 95","Winterfell","CC2","C","CC2_10","CC2_4","3","P","D4",1,"1.05",0,3.85,4.9,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",21,0,1.55412506921376,3.28429766530403
"CC2_4_4","Cor.C 95","Winterfell","CC2","C","CC2_5","CC2_4","4","N","F4",2,"0.22",8.19,1.58,9.99,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.9725,4,8.782117602,-6.7825,"Negative",16,0,1.232991630673,2.4195946626634
"CC2_4_5","Cor.C 95","Winterfell","CC2","C","CC2_2","CC2_4","5","P","C4",1,"1.57",0,10.13,11.7,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.23666667,"Negative",11,0,1.06512549127472,2.3510460187473
"CC2_5_3","Cor.C 95","Winterfell","CC2","C","CC2_1","CC2_5","3","N","D5",1,"1.31",0,5.72,7.03,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",20,0,1.70316946307349,4.40126962905556
"CC2_5_5","Cor.C 95","Winterfell","CC2","C","CC2_2","CC2_5","5","P","C5",1,"1.04",0.03,6.12,7.19,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.20666667,"Negative",12,0,1.16944853482609,2.62957731066735
"CC2_6_5","Cor.C 95","Winterfell","CC2","C","CC2_4","CC2_6","5","N","C6",1,"1.06",16.42,5.76,23.24,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,2.183333333,"Positive",13,0,1.2560233862952,2.67137743999185
"CC2_7_3","Cor.C 95","Winterfell","CC2","C","CC2_10","CC2_7","3","P","D7",1,"1.82",0,5.36,7.18,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",11,0,1.51860664700835,3.82507050109452
"CC2_7_5","Cor.C 95","Winterfell","CC2","C","CC2_2","CC2_7","5","P","C7",1,"1.05",4.42,4.38,9.85,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-9.816666667,"Negative",9,0,1.15638262044326,2.40601256963532
"CC2_9_3","Cor.C 95","Winterfell","CC2","C","CC2_1","CC2_9","3","N","D9",1,"0",0,4.39,4.39,"",NA,NA,NA,NA,NA,"NO TUBER/BG?","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",13,0,1.40568667177192,3.16562078135086
